,#,L/R,External,TFlight,TContact,TStep,Elevation,Pace[step/s],Pace[step/m],Step,Speed,Acc,Split,StepAngle,Imbalance,Distance,Stride,StrideTime\Cycle,SingleSupport,SingleSupport%,TotalDoubleSupport,TotalDoubleSupport%,TStance,TStance%,TSwing,TSwing%,ContactPhase,ContactPhase%,FootFlat,FootFlat%,PropulsivePhase,PropulsivePhase%,LoadResponse,LoadResponse%,PreSwing,PreSwing%,TFlightPerc,TContactPerc,AbsoluteValue
14,14,L,,,0.892,0.651,,,90.02,66,1.01,-0.01,29.15,,,3552,135,1.333,0.382,29.9,0.51,39.9,0.892,69.9,0.415,31.1,0.166,18.6,0.528,59.2,0.198,22.2,0.267,20.9,0.243,19,,69.9,32817
15,15,R,,,0.903,0.649,,,92.31,65,1.01,0,29.799,,-2.074,3617,131,1.3,0.385,30.1,0.518,40.5,0.903,70.7,0.382,29.4,0.159,17.6,0.534,59.1,0.21,23.3,0.243,19,0.275,21.5,,70.7,33466
16,16,L,,,0.914,0.628,,,93.97,66,1.03,0.01,30.427,,,3682,131,1.277,0.375,28.9,0.539,41.6,0.914,70.5,0.385,30.1,0.173,18.9,0.541,59.2,0.2,21.9,0.275,21.2,0.264,20.4,,70.5,34094
17,17,R,,,0.898,0.65,,,93.9,66,1.03,0,31.077,,1.477,3748,132,1.278,0.382,29.5,0.516,39.8,0.898,69.2,0.375,29.3,0.136,15.1,0.564,62.8,0.198,22.1,0.264,20.4,0.252,19.4,,69.2,34744
18,18,L,,,0.91,0.646,,,92.59,69,1.04,0,31.723,,,3817,135,1.296,0.399,31.3,0.511,40.1,0.91,71.4,0.382,29.5,0.146,16,0.577,63.4,0.187,20.6,0.252,19.8,0.259,20.3,,71.4,35390
19,19,R,,,0.901,0.651,,,92.52,68,1.06,0.01,32.374,,1.154,3885,137,1.297,0.365,28.3,0.536,41.6,0.901,70,0.399,30.8,0.156,17.3,0.528,58.6,0.217,24.1,0.259,20.1,0.277,21.5,,70,36041
20,20,L,,,0.893,0.624,,,94.12,63,1.03,-0.01,32.998,,,3947,131,1.275,0.387,30.2,0.506,39.5,0.893,69.8,0.365,28.6,0.138,15.5,0.574,64.3,0.181,20.2,0.277,21.6,0.229,17.9,,69.8,36665
21,21,R,,,0.925,0.664,,,93.17,70,1.03,0,33.662,,-2.24,4017,133,1.288,0.387,29.5,0.538,41,0.925,70.5,0.387,30,0.136,14.7,0.597,64.5,0.192,20.8,0.229,17.5,0.309,23.6,,70.5,37329
22,22,L,,,0.94,0.616,,,93.75,58,1,-0.01,34.278,,,4075,128,1.28,0.387,29.4,0.553,42,0.94,71.3,0.387,30.2,0.17,18.1,0.583,62,0.187,19.9,0.309,23.4,0.244,18.5,,71.3,37945
23,23,R,,,0.899,0.696,,,91.46,71,0.98,-0.01,34.974,,2.979,4146,129,1.312,0.378,30.2,0.521,41.6,0.899,71.7,0.387,29.5,0.147,16.4,0.546,60.7,0.206,22.9,0.244,19.5,0.277,22.1,,71.7,38641
24,24,L,,,0.892,0.622,,,91.05,63,1.02,0.01,35.596,,,4209,134,1.318,0.354,28.2,0.538,42.9,0.892,71.1,0.378,28.7,0.165,18.5,0.52,58.3,0.207,23.2,0.277,22.1,0.261,20.8,,71.1,39263
25,25,R,,,0.91,0.631,,,95.77,64,1.01,0,36.227,,-1.401,4272,127,1.253,0.363,28.3,0.547,42.7,0.91,71,0.354,28.3,0.139,15.3,0.551,60.5,0.22,24.2,0.261,20.4,0.286,22.3,,71,39894
26,26,L,,,0.892,0.624,,,95.62,67,1.04,0.01,36.851,,,4339,131,1.255,0.372,29.3,0.52,41,0.892,70.3,0.363,28.9,0.157,17.6,0.549,61.5,0.186,20.9,0.286,22.5,0.234,18.4,,70.3,40518
27,27,R,,,0.884,0.658,,,93.6,70,1.07,0.01,37.509,,-0.561,4409,137,1.282,0.377,29.5,0.507,39.7,0.884,69.3,0.372,29,0.155,17.5,0.512,57.9,0.217,24.6,0.234,18.3,0.273,21.4,,69.3,41176
28,28,L,,,0.894,0.611,,,94.56,64,1.06,0,38.12,,,4472,134,1.269,0.392,30.5,0.502,39.1,0.894,69.6,0.377,29.7,0.131,14.7,0.575,64.3,0.188,21,0.273,21.2,0.229,17.8,,69.6,41787
29,29,R,,,0.876,0.665,,,94.04,70,1.05,0,38.785,,1.566,4542,134,1.276,0.391,32.1,0.485,39.8,0.876,71.9,0.392,30.7,0.139,15.9,0.546,62.3,0.191,21.8,0.229,18.8,0.256,21,,71.9,42452
